                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.12051,                0.11551,                0.82069,                0.91403,                0.84615,                0.94353,                 0.5634,                 1.4115,                0.83428,                 2.5297,                0.00472,                0.00472,                0.00472
                     82,                0.11959,                0.11506,                0.81812,                0.91388,                0.87179,                 0.9342,                0.51247,                 1.4808,                0.91344,                 2.7064,               0.004654,               0.004654,               0.004654
                     83,                0.11551,                0.11054,                0.82051,                0.99448,                0.87179,                 0.9479,                0.53895,                 1.4105,                0.85243,                 2.6293,               0.004588,               0.004588,               0.004588
                     84,                0.11343,                0.11008,                0.81882,                0.97781,                0.87179,                0.95553,                0.52578,                 1.4405,                 0.8984,                  2.641,               0.004522,               0.004522,               0.004522
                     85,                0.11039,                 0.1076,                0.82081,                0.99419,                0.87179,                0.93262,                0.52551,                 1.4551,                0.91222,                 2.6016,               0.004456,               0.004456,               0.004456
                     86,                0.10821,                 0.1057,                0.81805,                0.96824,                0.87179,                0.94531,                 0.5212,                 1.5123,                0.91291,                 2.6799,                0.00439,                0.00439,                0.00439
                     87,                0.10514,                 0.1036,                0.82044,                      1,                0.84607,                0.93556,                0.52392,                 1.4589,                 0.9337,                 2.6219,               0.004324,               0.004324,               0.004324
                     88,                0.10382,                0.10145,                0.81978,                0.99708,                0.84615,                0.94968,                0.50983,                  1.544,                0.88289,                 2.7823,               0.004258,               0.004258,               0.004258
                     89,                0.10393,                 0.1044,                0.81929,                0.97136,                0.86974,                0.92369,                0.50437,                  1.477,                0.90172,                 2.7053,               0.004192,               0.004192,               0.004192
                     90,                 0.1032,                0.10226,                0.81702,                0.99604,                0.87179,                0.94231,                0.52964,                 1.4754,                0.80828,                 2.6492,               0.004126,               0.004126,               0.004126
                     91,                0.10213,                0.10072,                 0.8163,                      1,                0.81874,                0.94624,                0.52839,                 1.4796,                0.84031,                 2.6794,                0.00406,                0.00406,                0.00406
                     92,                0.10154,                0.10157,                0.81762,                      1,                0.81843,                0.93049,                0.52495,                 1.4899,                0.87085,                  2.632,               0.003994,               0.003994,               0.003994
                     93,                0.10239,                0.10281,                0.81914,                      1,                0.81479,                0.90697,                0.50053,                 1.5051,                0.91014,                 2.6513,               0.003928,               0.003928,               0.003928
